,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
359,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Jacques Félix, 724 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  , Vila Nova Conceição,"Rua Jacques Félix, 724"
360,   R$ 2.250 /Mês  ,  3   Quartos  ,"Rua Ibitirama, 1809 - Vila Prudente, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Vila Prudente,"Rua Ibitirama, 1809"
361,   R$ 11.000 /Mês  ,  4   Quartos  ,"Rua Aimberê, 233 - Perdizes, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  260   m²  , Perdizes,"Rua Aimberê, 233"
362,   R$ 2.950 /Mês  ,  1   Quarto  ,"Rua Tucuna, 824 - Perdizes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Perdizes,"Rua Tucuna, 824"
363,   R$ 15.000 /Mês    R$ 3.100.000   ,  3   Quartos  ,"Rua Flórida, 1901 - Cidade Monções, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  220   m²  , Cidade Monções,"Rua Flórida, 1901"
364,   R$ 7.000 /Mês  ,  3   Quartos  ,"Rua Aracari, 177 - Itaim Bibi, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  130   m²  , Itaim Bibi,"Rua Aracari, 177"
365,   R$ 4.300 /Mês  ,  1   Quarto  ,"Rua Alves Guimarães, 1120 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  45   m²  , Pinheiros,"Rua Alves Guimarães, 1120"
366,   R$ 2.000 /Mês    R$ 390.000   ,  2   Quartos  ,"Rua Uruçuca, 34 - Vila Antonina, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  57   m²  , Vila Antonina,"Rua Uruçuca, 34"
367,   R$ 2.900 /Mês  ,  1   Quarto  ,"Praça Júlio Mesquita, 97 - Santa Efigênia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  , Santa Efigênia,"Praça Júlio Mesquita, 97"
368,   R$ 1.000 /Mês  ,  1   Quarto  ,"Rua Oriçanga, 14 - Mirandópolis, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Mirandópolis,"Rua Oriçanga, 14"
