,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
0,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  ,,
1,   R$ 1.650 /Mês  ,  2   Quartos  ,"Rua Professor Demóstenes Batista Figueira Marques, 10 - Cambuci, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
2,   R$ 2.400 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
3,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
4,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua Araquém, 19 - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  84   m²  ,,
5,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Adolfo Gordo, 52 - Campos Elíseos, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  37   m²  ,,
6,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  130   m²  ,,
7,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  88   m²  ,,
8,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
9,   R$ 2.500 /Mês  ,  1   Quarto  ,"Avenida Vereador José Diniz, 3100 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  35   m²  ,,
10,   R$ 1.800 /Mês  ,  2   Quartos  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  ,,
11,   R$ 4.574 /Mês  ,  3   Quartos  ,"Rua Viradouro, 96 - Itaim Bibi, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  100   m²  ,,
12,   R$ 2.000 /Mês  ,  3   Quartos  ,"Rua Eli - Vila Maria Baixa, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  73   m²  ,,
13,   R$ 4.800 /Mês  ,  3   Quartos  ,"Rua Barão de Jaceguai, 1305 - Campo Belo, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  130   m²  ,,
14,   R$ 2.700 /Mês  ,  1   Quarto  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
15,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  ,,
16,   R$ 2.900 /Mês    R$ 960.000   ,  3   Quartos  ,"Avenida Moaci, 780 - Planalto Paulista, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  99   m²  ,,
17,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
18,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
19,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  91   m²  ,,
20,   R$ 3.800 /Mês    R$ 720.000   ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  44   m²  ,,
21,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
22,   R$ 2.950 /Mês  ,  2   Quartos  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
23,   R$ 10.000 /Mês  ,  4   Quartos  ,"Rua Caiubi, 1159 - Perdizes, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  180   m²  ,,
24,   R$ 8.500 /Mês  ,  3   Quartos  ,"Rua Pelotas, 209 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  142   m²  ,,
25,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  ,,
26,   R$ 1.800 /Mês    R$ 420.000   ,  1   Quarto  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  37   m²  ,,
27,   R$ 3.800 /Mês  ,  2   Quartos  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  64   m²  ,,
28,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  165   m²  ,,
29,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
30,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua João Ramalho, 717 - Perdizes, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
31,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
32,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
33,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
34,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
35,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Martim Francisco, 67 - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  50   m²  ,,
36,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  94   m²  ,,
37,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
38,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  36   m²  ,,
39,   R$ 5.500 /Mês  ,  2   Quartos  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  78   m²  ,,
40,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  ,,
41,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  97   m²  ,,
42,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
43,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
44,   R$ 1.900 /Mês  ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  ,,
45,   R$ 1.800 /Mês  ,  3   Quartos  ,"Avenida Yervant Kissajikian - Vila Constança, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
46,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
47,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
48,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
49,   R$ 9.990 /Mês    R$ 2.199.900   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  ,,
50,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  75   m²  ,,
51,   R$ 6.385 /Mês  ,  2   Quartos  ,"Rua Casa do Ator, 996 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  100   m²  ,,
52,   R$ 3.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  90   m²  ,,
53,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
54,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
55,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
56,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Nebraska, 420 - Brooklin Novo, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  121   m²  ,,
57,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
58,   R$ 1.100 /Mês  ,  1   Quarto  ,"Avenida Afonso Mariano Fagundes, 725 - Saúde, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  12   m²  ,,
59,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
60,   R$ 1.150 /Mês  ,  2   Quartos  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  ,,
61,   R$ 3.100 /Mês  ,  3   Quartos  ,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  128   m²  ,,
62,   R$ 3.500 /Mês    R$ 1.100.000   ,  2   Quartos  ,"Alameda Barros - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  78   m²  ,,
63,   R$ 1.050 /Mês  ,  1   Quarto  ,"Cidade Vargas, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  10   m²  ,,
64,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  ,,
65,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
66,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
67,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  46   m²  ,,
68,   R$ 5.885 /Mês    R$ 1.799.900   ,  3   Quartos  ,"Rua Brasília, 45 - Itaim Bibi, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  120   m²  ,,
69,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Marechal Deodoro, 500 - Santo Amaro, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  126   m²  ,,
70,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  81   m²  ,,
71,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alameda dos Arapanés, 628 - Moema, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  198   m²  ,,
72,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  ,,
73,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Barão de Santa Branca - Parque Colonial, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
74,   R$ 15.000 /Mês  ,  4   Quartos  ,"Rua Edson, 728 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  230   m²  ,,
75,   R$ 4.000 /Mês  ,  3   Quartos  ,"Rua Sócrates, 161 - Vila Sofia, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  105   m²  ,,
76,   R$ 3.050 /Mês  ,  1   Quarto  ,"Rua Luís Correia de Melo, 92 - Vila Cruzeiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
77,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
78,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Camillo Nader, 175 - Vila Morumbi, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  125   m²  , Vila Morumbi,"Rua Camillo Nader, 175"
79,   R$ 990 /Mês  ,  1   Quarto  ,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  24   m²  , Carandiru,"Rua Chico Pontes, 184"
80,   R$ 2.250 /Mês  ,  1   Quarto  ,"Rua Dona Antônia de Queirós - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  39   m²  , Consolação,Rua Dona Antônia de Queirós
81,   R$ 9.990 /Mês    R$ 2.199.800   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  , Cidade Monções,"Rua Pensilvânia, 442"
82,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Ipanema, 67 - Mooca, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  63   m²  , Mooca,"Rua Ipanema, 67"
83,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Agostinho Gomes, 1326 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  , Ipiranga,"Rua Agostinho Gomes, 1326"
84,   R$ 4.250 /Mês  ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  52   m²  , Cidade Monções,"Rua George Ohm, 330"
85,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Nova York, 245 - Brooklin Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  43   m²  , Brooklin Paulista,"Rua Nova York, 245"
86,   R$ 2.800 /Mês  ,  3   Quartos  ,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  79   m²  , Liberdade,"Rua Galvão Bueno, 499"
87,   R$ 1.000 /Mês  ,  1   Quarto  ,"Rua Doutor Cesário Mota Júnior - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  26   m²  , Vila Buarque,Rua Doutor Cesário Mota Júnior
88,   R$ 2.700 /Mês  ,  3   Quartos  ,"Avenida Albert Bartholome, 472 - Jardim das Vertentes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  82   m²  , Jardim das Vertentes,"Avenida Albert Bartholome, 472"
89,   R$ 700 /Mês  ,  1   Quarto  ,"Rua Humaitá, 619 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  32   m²  , Bela Vista,"Rua Humaitá, 619"
90,   R$ 2.200 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Bela Vista,Rua Itararé
91,   R$ 6.000 /Mês  ,  1   Quarto  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  , Pinheiros,"Rua Eugênio de Medeiros, 288"
92,   R$ 2.290 /Mês  ,  2   Quartos  ,"Avenida Onze de Junho, 730 - Vila Clementino, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  53   m²  , Vila Clementino,"Avenida Onze de Junho, 730"
93,   R$ 7.985 /Mês    R$ 1.499.800   ,  3   Quartos  ,"Rua Nova York, 539 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  120   m²  , Brooklin Paulista,"Rua Nova York, 539"
94,   R$ 2.190 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 950 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  , Cerqueira César,"Rua Cristiano Viana, 950"
95,   R$ 2.100 /Mês  ,  2   Quartos  ,"Rua João Miguel Jarra, 298 - Vila Madalena, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Vila Madalena,"Rua João Miguel Jarra, 298"
96,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira, 250 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Nova Conceição,"Rua João Cachoeira, 250"
97,   R$ 2.500 /Mês    R$ 750.000   ,  2   Quartos  ,"Rua Fidalga, 720 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  62   m²  , Pinheiros,"Rua Fidalga, 720"
98,   R$ 2.500 /Mês  ,  1   Quarto  ,"Rua Aurora, 756 - Santa Efigênia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Santa Efigênia,"Rua Aurora, 756"
99,   R$ 1.550 /Mês  ,  2   Quartos  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  57   m²  , Rio Pequeno,"Avenida Escola Politécnica, 2200"
100,   R$ 4.200 /Mês    R$ 1.059.990   ,  3   Quartos  ,"Avenida Doutor Mário Vilas Boas Rodrigues, 161 - Jardim Dom Bosco, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  130   m²  , Jardim Dom Bosco,"Avenida Doutor Mário Vilas Boas Rodrigues, 161"
101,   R$ 4.400 /Mês  ,  3   Quartos  ,"Rua Arruda Alvim - Pinheiros, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  120   m²  , Pinheiros,Rua Arruda Alvim
102,   R$ 5.785 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
103,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Nova Conceição,"Rua Comendador Miguel Calfat, 62"
104,   R$ 4.700 /Mês  ,  3   Quartos  ,"Rua Carlos Weber, 499 - Vila Leopoldina, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  125   m²  , Vila Leopoldina,"Rua Carlos Weber, 499"
105,   R$ 14.490 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  , Vila Nova Conceição,"Rua Inajaroba, 17"
106,   R$ 5.790 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
107,   R$ 800 /Mês  ,  1   Quarto  ,"Rua Gomes de Carvalho, 1005 - Vila Olímpia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Vila Olímpia,"Rua Gomes de Carvalho, 1005"
108,   R$ 3.300 /Mês  ,  3   Quartos  ,"Rua Conselheiro Brotero, 823 - Santa Cecília, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  88   m²  , Santa Cecília,"Rua Conselheiro Brotero, 823"
109,   R$ 1.200 /Mês    R$ 222.000   ,  2   Quartos  ,"Cidade Satélite Santa Bárbara, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  47   m²  , SP,"Cidade Satélite Santa Bárbara, São Paulo"
110,   R$ 4.500 /Mês  ,  3   Quartos  ,"Rua Sabará, 410 - Higienópolis, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  120   m²  , Higienópolis,"Rua Sabará, 410"
111,   R$ 1.200 /Mês  ,  1   Quarto  ,"Rua Luís Góis, 2172 - Mirandópolis, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  35   m²  , Mirandópolis,"Rua Luís Góis, 2172"
112,   R$ 1.300 /Mês    R$ 350.000   ,  2   Quartos  ,"Rua Padre Bento Ibañez - Jardim Prudência, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  , Jardim Prudência,Rua Padre Bento Ibañez
113,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Iaiá - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  52   m²  , Itaim Bibi,Rua Iaiá
114,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  ,  124   m²  , Vila Uberabinha,Rua Araguari
115,   R$ 1.200 /Mês  ,  1   Quarto  ,"Rua Ática, 420 - Jardim Brasil (Zona Sul), São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  35   m²  , Jardim Brasil (Zona Sul),"Rua Ática, 420"
116,   R$ 4.500 /Mês  ,  1   Quarto  ,"Rua Doutor Virgílio de Carvalho Pinto, 262 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Pinheiros,"Rua Doutor Virgílio de Carvalho Pinto, 262"
117,   R$ 4.990 /Mês  ,  2   Quartos  ,"Rua Capote Valente, 467 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  , Pinheiros,"Rua Capote Valente, 467"
118,   R$ 4.000 /Mês    R$ 1.190.000   ,  1   Quarto  ,"Avenida Chibarás, 44 - Moema, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  68   m²  , Moema,"Avenida Chibarás, 44"
119,   R$ 55.000 /Mês    R$ 23.000.000   ,  4   Quartos  ,"Rua Inhambú - Vila Uberabinha, São Paulo - SP",  6   Banheiros  ,  5   Vagas  ,  403   m²  , Vila Uberabinha,Rua Inhambú
120,   R$ 2.300 /Mês  ,  1   Quarto  ,"Rua Major Sertório, 321 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  37   m²  , Vila Buarque,"Rua Major Sertório, 321"
121,   R$ 5.044 /Mês    R$ 1.115.000   ,  2   Quartos  ,"Rua Pais Leme, 400 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  68   m²  , Pinheiros,"Rua Pais Leme, 400"
122,   R$ 3.500 /Mês  ,  3   Quartos  ,"Alameda Ribeirão Preto, 118 - Bela Vista, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  100   m²  , Bela Vista,"Alameda Ribeirão Preto, 118"
123,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Vila Buarque,"Rua Marquês de Itu, 181"
124,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Constantino de Sousa, 1032 - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  45   m²  , Campo Belo,"Rua Constantino de Sousa, 1032"
125,   R$ 2.800 /Mês  ,  3   Quartos  ,"Rua Artur Prado, 275 - Bela Vista, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  78   m²  , Bela Vista,"Rua Artur Prado, 275"
126,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  32   m²  , Vila Mariana,"Rua Cubatão, 1140"
127,   R$ 1.350 /Mês  ,  1   Quarto  ,"Rua da Consolação, 927 - Consolação, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  27   m²  , Consolação,"Rua da Consolação, 927"
128,   R$ 7.000 /Mês  ,  4   Quartos  ,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  160   m²  , Vila Mariana,"Rua França Pinto, 537"
129,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Antônio de Macedo Soares, 1234 - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Campo Belo,"Rua Antônio de Macedo Soares, 1234"
130,   R$ 4.000 /Mês  ,  2   Quartos  ,"Alameda Tietê, 353 - Cerqueira César, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  100   m²  , Cerqueira César,"Alameda Tietê, 353"
131,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Guarará - Jardim Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Jardim Paulista,Rua Guarará
132,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Santa Crescência, 85 - Ferreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  65   m²  , Ferreira,"Rua Santa Crescência, 85"
133,   R$ 4.040 /Mês    R$ 999.800   ,  3   Quartos  ,"Rua Cristiano Viana, 505 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  85   m²  , Cerqueira César,"Rua Cristiano Viana, 505"
134,   R$ 2.150 /Mês  ,  1   Quarto  ,"Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Olímpia,"Rua Júlio Diniz, 145"
135,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua José Antônio Coelho, 407 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  61   m²  , Vila Mariana,"Rua José Antônio Coelho, 407"
136,   R$ 3.300 /Mês  ,  2   Quartos  ,"Avenida Moaci - Planalto Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Planalto Paulista,Avenida Moaci
