,rent,rooms,address,bathroom,parking,area,suburb,street
878,13000,  3  ,"Rua Manuel Guedes, 536 - Jardim Europa, São Paulo - SP",  4  ,  2  ,  227  ,Jardim Europa,"Rua Manuel Guedes, 536"
879,13500,  4  ,"Avenida Portugal, 277 - Brooklin Paulista, São Paulo - SP",  5  ,  3  ,  255  ,Brooklin Paulista,"Avenida Portugal, 277"
880,25103,  3  ,"Indianópolis, São Paulo - SP",  5  ,  3  ,  210  ,SP,"Indianópolis, São Paulo"
881,20000,  4  ,"Rua Romilda Margarita Gabriel - Itaim Bibi, São Paulo - SP",  5  ,  2  ,  500  ,Itaim Bibi,Rua Romilda Margarita Gabriel
882,20000,  3  ,"Alameda Jauaperi, 50 - Indianópolis, São Paulo - SP",  4  ,  3  ,  324  ,Indianópolis,"Alameda Jauaperi, 50"
883,6500,  4  ,"Rua Sacadura Cabral, 220 - Lapa, São Paulo - SP",  4  ,  4  ,  250  ,Lapa,"Rua Sacadura Cabral, 220"
884,16000,  4  ,"Avenida Angélica - Santa Cecília, São Paulo - SP",  4  ,  2  ,  382  ,Santa Cecília,Avenida Angélica
885,8000,  3  ,"Rua João Anes, 144 - Alto da Lapa, São Paulo - SP",  4  ,  3  ,  164  ,Alto da Lapa,"Rua João Anes, 144"
886,5500,  3  ,"Rua Passo da Pátria - Vila Leopoldina, São Paulo - SP",  4  ,  2  ,  185  ,Vila Leopoldina,Rua Passo da Pátria
887,40000,  3  ,"Santo Amaro, São Paulo - SP",  5  ,  --  ,  511  ,SP,"Santo Amaro, São Paulo"
888,20000,  4  ,"Rua Coronel Oscar Porto, 50 - Paraíso, São Paulo - SP",  6  ,  4  ,  300  ,Paraíso,"Rua Coronel Oscar Porto, 50"
889,10000,  2  ,"Avenida Rouxinol - Indianópolis, São Paulo - SP",  2  ,  1  ,  82  ,Indianópolis,Avenida Rouxinol
890,6500,  3  ,"Rua Barão de Jaceguai - Campo Belo, São Paulo - SP",  4  ,  3  ,  129  ,Campo Belo,Rua Barão de Jaceguai
891,5000,  3  ,"Rua Carlos Weber - Alto da Lapa, São Paulo - SP",  3  ,  2  ,  300  ,Alto da Lapa,Rua Carlos Weber
892,7700,  1  ,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  54  ,Vila Olímpia,"Rua Elvira Ferraz, 250"
893,1500,  1  ,"Alameda Jauaperi, , 1083 - Moema, São Paulo - SP",  1  ,  1  ,  35  ,Moema,"Alameda Jauaperi, , 1083"
894,800,  1  ,"Rua Carlos Escobar, 282 - Santana, São Paulo - SP",  1  ,  --  ,  10  ,Santana,"Rua Carlos Escobar, 282"
895,3246,  1  ,"Rua Guarará - Jardim Paulista, São Paulo - SP",  1  ,  1  ,  28  ,Jardim Paulista,Rua Guarará
896,1250,  1  ,"Rua Nazira Carone, 9 - Jardim Ampliação, São Paulo - SP",  1  ,  1  ,  35  ,Jardim Ampliação,"Rua Nazira Carone, 9"
897,1500,  1  ,"Rua Pedroso Alvarenga, 543 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  32  ,Itaim Bibi,"Rua Pedroso Alvarenga, 543"
898,7000,  1  ,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  42  ,Vila Olímpia,"Rua Elvira Ferraz, 250"
899,1500,  1  ,"Rua da Consolação, 3101 - Cerqueira César, São Paulo - SP",  1  ,  1  ,  28  ,Cerqueira César,"Rua da Consolação, 3101"
900,2400,  1  ,"Rua Oscar Freire, 1948 - Pinheiros, São Paulo - SP",  1  ,  1  ,  30  ,Pinheiros,"Rua Oscar Freire, 1948"
901,1450,  1  ,"Rua Professor Carlos de Carvalho, 108 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  33  ,Itaim Bibi,"Rua Professor Carlos de Carvalho, 108"
902,2000,  2  ,"Alameda Lorena, 1852 - Jardim Paulista, São Paulo - SP",  1  ,  1  ,  43  ,Jardim Paulista,"Alameda Lorena, 1852"
903,3300,  1  ,"Rua Leopoldo Couto Magalhães Júnior, 550 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  50  ,Itaim Bibi,"Rua Leopoldo Couto Magalhães Júnior, 550"
