,rent,rooms,address,bathroom,parking,area,suburb,street
1014,18000,  4  ,"Avenida Guarapiranga, 1783 - Guarapiranga, São Paulo - SP",  6  ,  6  ,  721  ,Guarapiranga,"Avenida Guarapiranga, 1783"
1015,8000,  3  ,"Varginha, São Paulo - SP",  3  ,  --  ,  2000  ,SP,"Varginha, São Paulo"
1016,500,  1  ,"Rua José Brito Mendes - Sitio Botuquara, São Paulo - SP",  1  ,  --  ,  50  ,Sitio Botuquara,Rua José Brito Mendes
1017,7000,  3  ,"Rua Irmã Maria Lourença - Jardim Shangrila, São Paulo - SP",  --  ,  30  ,  0  ,Jardim Shangrila,Rua Irmã Maria Lourença
1018,5500,  2  ,"Rua Henrique Hessel - Recanto Campo Belo, São Paulo - SP",  3  ,  40  ,  400  ,Recanto Campo Belo,Rua Henrique Hessel
1019,4000,  2  ,"Rua Benvinda Cândida - Chácara Bosque do Sol, São Paulo - SP",  3  ,  5  ,  250  ,Chácara Bosque do Sol,Rua Benvinda Cândida
1020,4500,  5  ,"Rua Doutor Chibata Miyakoshi - Panamby, São Paulo - SP",  7  ,  6  ,  505  ,Panamby,Rua Doutor Chibata Miyakoshi
1021,15400,  2  ,"Avenida Angélica, 589 - Higienópolis, São Paulo - SP",  3  ,  2  ,  381  ,Higienópolis,"Avenida Angélica, 589"
1022,4900,  3  ,"Rua Canário - Moema, São Paulo - SP",  3  ,  1  ,  140  ,Moema,Rua Canário
1023,24900,  3  ,"Rua Haddock Lobo, 0 - Jardins, São Paulo - SP",  5  ,  4  ,  228  ,Jardins,"Rua Haddock Lobo, 0"
1024,9000,  4  ,"Rua David Ben Gurion, 955 - Jardim Monte Kemel, São Paulo - SP",  5  ,  3  ,  283  ,Jardim Monte Kemel,"Rua David Ben Gurion, 955"
1025,4520,  2  ,"Avenida Portugal - Brooklin, São Paulo - SP",  2  ,  1  ,  130  ,Brooklin,Avenida Portugal
1026,3690,  1  ,"Rua Doutor Tomás Carvalhal, 728 - Paraíso, São Paulo - SP",  2  ,  1  ,  100  ,Paraíso,"Rua Doutor Tomás Carvalhal, 728"
1027,8000,  4  ,"Alto da Lapa, São Paulo - SP",  3  ,  3  ,  276  ,SP,"Alto da Lapa, São Paulo"
1028,5000,  1  ,"Rua Baluarte - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  62  ,Vila Olímpia,Rua Baluarte
1029,20000,  4  ,"Avenida Jandira - Moema, São Paulo - SP",  4  ,  8  ,  575  ,Moema,Avenida Jandira
1030,15000,  5  ,"Avenida Washington Luís - Chácara Flora, São Paulo - SP",  4  ,  4  ,  560  ,Chácara Flora,Avenida Washington Luís
1031,11000,  2  ,"Rua Joaquim Távora, 1210 - Vila Mariana, São Paulo - SP",  4  ,  3  ,  172  ,Vila Mariana,"Rua Joaquim Távora, 1210"
1032,10000,  3  ,"Rua Cayowaá, 1520 - Perdizes, São Paulo - SP",  5  ,  4  ,  210  ,Perdizes,"Rua Cayowaá, 1520"
1033,22000,  3  ,"Rua Massacá, 231 - Alto de Pinheiros, São Paulo - SP",  1  ,  5  ,  375  ,Alto de Pinheiros,"Rua Massacá, 231"
1034,10000,  2  ,"Rua Caravelas, 138 - Vila Mariana, São Paulo - SP",  4  ,  2  ,  145  ,Vila Mariana,"Rua Caravelas, 138"
1035,2600,  1  ,"Rua Apinajés, 105 - Pompeia, São Paulo - SP",  1  ,  1  ,  83  ,Pompeia,"Rua Apinajés, 105"
1036,21000,  1  ,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",  2  ,  2  ,  110  ,Vila Olímpia,"Rua Elvira Ferraz, 250"
1037,65000,  4  ,"Alameda dos Guaramomis, 404 - Moema, São Paulo - SP",  6  ,  8  ,  470  ,Moema,"Alameda dos Guaramomis, 404"
1038,20000,  3  ,"Alameda Jauaperi - Moema, São Paulo - SP",  3  ,  4  ,  324  ,Moema,Alameda Jauaperi
1039,110000,  4  ,"Jardim Paulista, São Paulo - SP",  4  ,  8  ,  907  ,SP,"Jardim Paulista, São Paulo"
1040,65000,  4  ,"Moema, São Paulo - SP",  7  ,  8  ,  583  ,SP,"Moema, São Paulo"
1041,14990,  3  ,"Rua Edson, 1172 - Campo Belo, São Paulo - SP",  3  ,  2  ,  264  ,Campo Belo,"Rua Edson, 1172"
1042,5900,  2  ,"Alameda Joaquim Eugênio de Lima, 246 - Jardim Paulista, São Paulo - SP",  3  ,  2  ,  100  ,Jardim Paulista,"Alameda Joaquim Eugênio de Lima, 246"
1043,9990,  3  ,"Rua Morás, 542 - Vila Madalena, São Paulo - SP",  3  ,  4  ,  205  ,Vila Madalena,"Rua Morás, 542"
1044,1864,  1  ,"Rua Eleonora Cintra, 960 - Tatuapé, São Paulo - SP",  1  ,  1  ,  27  ,Tatuapé,"Rua Eleonora Cintra, 960"
1045,5900,  1  ,"Rua Elvira Ferraz, 250 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  42  ,Itaim Bibi,"Rua Elvira Ferraz, 250"
1046,3000,  1  ,"Avenida Armando Ferrentini, 668 - Aclimação, São Paulo - SP",  1  ,  --  ,  28  ,Aclimação,"Avenida Armando Ferrentini, 668"
1047,550,  5  ,"Rua Ribeiro do Vale, 1458 - Itaim Bibi, São Paulo - SP",  4  ,  --  ,  12  ,Itaim Bibi,"Rua Ribeiro do Vale, 1458"
1048,500,  1  ,"Rua Visconde de Ourem, 210 - Vila Congonhas, São Paulo - SP",  1  ,  --  ,  12  ,Vila Congonhas,"Rua Visconde de Ourem, 210"
1049,23000,  1  ,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",  2  ,  3  ,  105  ,Vila Olímpia,"Rua Elvira Ferraz, 250"
1050,5000,  1  ,"Rua Tenente Negrão - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  40  ,Itaim Bibi,Rua Tenente Negrão
1051,2300,  1  ,"Rua Texas, 1487 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  24  ,Vila Olímpia,"Rua Texas, 1487"
1052,1400,  1  ,"Rua Verbo Divino, 1323 - Chácara Santo Antônio, São Paulo - SP",  1  ,  1  ,  30  ,Chácara Santo Antônio,"Rua Verbo Divino, 1323"
1053,1960,  1  ,"Rua Franz Schubert, 156 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  35  ,Itaim Bibi,"Rua Franz Schubert, 156"
1054,2600,  1  ,"Avenida Moema, 177 - Moema, São Paulo - SP",  1  ,  1  ,  52  ,Moema,"Avenida Moema, 177"
1055,1880,  1  ,"Alameda dos Anapurus, 1661 - Moema, São Paulo - SP",  1  ,  1  ,  33  ,Moema,"Alameda dos Anapurus, 1661"
1056,1320,  1  ,"Alameda Lorena, 1014 - Jardim Paulista, São Paulo - SP",  1  ,  1  ,  27  ,Jardim Paulista,"Alameda Lorena, 1014"
1057,1760,  1  ,"Avenida Moema, 177 - Moema, São Paulo - SP",  1  ,  1  ,  52  ,Moema,"Avenida Moema, 177"
1058,1200,  1  ,"Alameda dos Anapurus, , 1661 - Moema, São Paulo - SP",  1  ,  1  ,  33  ,Moema,"Alameda dos Anapurus, , 1661"
1059,3160,  2  ,"Avenida dos Imarés, 317 - Moema, São Paulo - SP",  1  ,  2  ,  57  ,Moema,"Avenida dos Imarés, 317"
1060,1800,  1  ,"Alameda Santos, 981 - Jardins, São Paulo - SP",  1  ,  1  ,  29  ,Jardins,"Alameda Santos, 981"
1061,4260,  2  ,"Alameda dos Jurupis, , 800 - Moema, São Paulo - SP",  1  ,  2  ,  70  ,Moema,"Alameda dos Jurupis, , 800"
1062,1200,  1  ,"Avenida Duque de Caxias, 525 - Campos Eliseos, São Paulo - SP",  1  ,  --  ,  29  ,Campos Eliseos,"Avenida Duque de Caxias, 525"
1063,2300,  1  ,"Rua Texas, 1018 - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  33  ,Itaim Bibi,"Rua Texas, 1018"
1064,3500,  2  ,"Rua Texas, 1018 - Brooklin, São Paulo - SP",  1  ,  1  ,  40  ,Brooklin,"Rua Texas, 1018"
1065,2300,  1  ,"Rua Texas, 1018 - Cidade Monções, São Paulo - SP",  1  ,  1  ,  24  ,Cidade Monções,"Rua Texas, 1018"
1066,2300,  1  ,"Rua Texas, 1018 - Brooklin, São Paulo - SP",  1  ,  1  ,  24  ,Brooklin,"Rua Texas, 1018"
1067,2300,  1  ,"Rua Texas, 1018 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  33  ,Vila Olímpia,"Rua Texas, 1018"
1068,820,  1  ,"Rua Santa Elvira - Tatuapé, São Paulo - SP",  1  ,  --  ,  20  ,Tatuapé,Rua Santa Elvira
1069,1135,  1  ,"Rua José Piragibe, 366 - Butantã, São Paulo - SP",  1  ,  --  ,  17  ,Butantã,"Rua José Piragibe, 366"
1070,1100,  1  ,"Rua Pires da Mota - Aclimação, São Paulo - SP",  1  ,  --  ,  18  ,Aclimação,Rua Pires da Mota
1071,1100,  1  ,"Rua José Getúlio - Liberdade, São Paulo - SP",  1  ,  --  ,  18  ,Liberdade,Rua José Getúlio
1072,2600,  --  ,"Rua Paula Ney, 100 - Aclimação, São Paulo - SP",  1  ,  1  ,  42  ,Aclimação,"Rua Paula Ney, 100"
1073,1600,  1  ,"Rua Itapeva, 182 - Bela Vista, São Paulo - SP",  1  ,  --  ,  25  ,Bela Vista,"Rua Itapeva, 182"
1074,1750,  1  ,"Rua Itapeva, 182 - Bela Vista, São Paulo - SP",  1  ,  --  ,  42  ,Bela Vista,"Rua Itapeva, 182"
1075,1850,  --  ,"Avenida Paulista - Bela Vista, São Paulo - SP",  1  ,  --  ,  40  ,Bela Vista,Avenida Paulista
1076,1450,  1  ,"Rua Tangará, 288 - Vila Mariana, São Paulo - SP",  1  ,  --  ,  20  ,Vila Mariana,"Rua Tangará, 288"
1077,1000,  1  ,"Avenida Nove de Julho, 337 - Bela Vista, São Paulo - SP",  1  ,  --  ,  25  ,Bela Vista,"Avenida Nove de Julho, 337"
1078,1350,  1  ,"Rua Bueno de Andrade - Liberdade, São Paulo - SP",  1  ,  --  ,  22  ,Liberdade,Rua Bueno de Andrade
1079,3500,  4  ,"Parque Domingos Luís, 408 - Jardim São Paulo, São Paulo - SP",  5  ,  2  ,  275  ,Jardim São Paulo,"Parque Domingos Luís, 408"
1080,1700,  2  ,"Vila Matilde, São Paulo - SP",  1  ,  1  ,  70  ,SP,"Vila Matilde, São Paulo"
1081,2700,  3  ,"Vila Dalila, São Paulo - SP",  1  ,  4  ,  110  ,SP,"Vila Dalila, São Paulo"
1082,2500,  3  ,"Vila Dalila, São Paulo - SP",  1  ,  --  ,  90  ,SP,"Vila Dalila, São Paulo"
1083,7000,  6  ,"Vila Matilde, São Paulo - SP",  2  ,  5  ,  490  ,SP,"Vila Matilde, São Paulo"
1084,3500,  3  ,"Rua Doutor Alvino Lima, 8 - Paraíso, São Paulo - SP",  2  ,  1  ,  250  ,Paraíso,"Rua Doutor Alvino Lima, 8"
1085,2000,  2  ,"Rua Maranjaí - Vila Monumento, São Paulo - SP",  4  ,  1  ,  240  ,Vila Monumento,Rua Maranjaí
1086,1500,  2  ,"Rua Professor Nicolau Maria Rossetti - Cidade Ademar, São Paulo - SP",  1  ,  1  ,  95  ,Cidade Ademar,Rua Professor Nicolau Maria Rossetti
1087,7350,  3  ,"Granja Julieta, São Paulo - SP",  5  ,  3  ,  450  ,SP,"Granja Julieta, São Paulo"
1088,3700,  3  ,"Campo Belo, São Paulo - SP",  2  ,  1  ,  110  ,SP,"Campo Belo, São Paulo"
1089,2500,  2  ,"Rua Antônio das Chagas - Chácara Santo Antônio, São Paulo - SP",  2  ,  1  ,  112  ,Chácara Santo Antônio,Rua Antônio das Chagas
1090,3000,  3  ,"Rua Alonso Calhamares - Jardim Anália Franco, São Paulo - SP",  2  ,  3  ,  170  ,Jardim Anália Franco,Rua Alonso Calhamares
1091,2100,  2  ,"Jardim Popular, São Paulo - SP",  1  ,  2  ,  65  ,SP,"Jardim Popular, São Paulo"
1092,3000,  3  ,"Rua João Elias Calache - Jardim Prudência, São Paulo - SP",  4  ,  2  ,  125  ,Jardim Prudência,Rua João Elias Calache
1093,4000,  2  ,"Parque São Domingos, São Paulo - SP",  1  ,  2  ,  130  ,SP,"Parque São Domingos, São Paulo"
1094,3500,  3  ,"Rua Arcipreste Ezequias - Ipiranga, São Paulo - SP",  2  ,  4  ,  164  ,Ipiranga,Rua Arcipreste Ezequias
1095,3200,  3  ,"Rua Chamantá - Vila Prudente, São Paulo - SP",  4  ,  2  ,  200  ,Vila Prudente,Rua Chamantá
1096,3400,  3  ,"Rua Henrique Botticini, 70 - Jardim Rizzo, São Paulo - SP",  3  ,  --  ,  132  ,Jardim Rizzo,"Rua Henrique Botticini, 70"
1097,1400,  2  ,"Cidade Líder, São Paulo - SP",  1  ,  1  ,  65  ,SP,"Cidade Líder, São Paulo"
1098,9000,  4  ,"Rua Áurea, 269 - Vila Mariana, São Paulo - SP",  2  ,  1  ,  108  ,Vila Mariana,"Rua Áurea, 269"
1099,1700,  3  ,"Rua Aparecido Carlos Ferreira Correa, 270 - Vila Tolstoi, São Paulo - SP",  4  ,  2  ,  160  ,Vila Tolstoi,"Rua Aparecido Carlos Ferreira Correa, 270"
1100,3500,  4  ,"Rua Guiratinga - Bosque da Saúde, São Paulo - SP",  3  ,  4  ,  136  ,Bosque da Saúde,Rua Guiratinga
1101,3000,  2  ,"Parque da Mooca, São Paulo - SP",  2  ,  3  ,  242  ,SP,"Parque da Mooca, São Paulo"
